"Row ID","Station ID","Station Name","Station Province","Station Latitude","Station Longitude","Location","Station Elevation (m)","Station Climate Identifier","Station WMO Identifier","Station TC Identifier","Year","Month","Day","Data Quality","Date","Maximum Temperature (C)","Minimum Temperature (C)","Mean Temperature (C)","Heating Degree Days (C)","Cooling Degree Days (C)","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precipitation (mm)","Snow on Ground (cm)","Speed of Maximum Wind Gust (km/h)","Direction of Maximum Wind Gust (10s Deg)"
"2721420210414","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","4","14",,"2021/04/14","16.2","-0.7","7.8","10.2","0",,,,,"0",,,
"2721420210415","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","4","15",,"2021/04/15","17.5","-1.2","8.2","9.8","0",,,,,"0",,,
"2721420210510","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","5","10",,"2021/05/10","16.2","1.4","8.8","9.2","0",,,,,"0",,,
"2721420210511","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","5","11",,"2021/05/11","17.3","6.2","11.7","6.3","0",,,,,"0.3",,,
"2721420210127","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","1","27",,"2021/01/27","-15.1","-17","-16","34","0",,,,,"2.1","18",,
"2721420210216","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","2","16",,"2021/02/16","-12.9","-22.2","-17.5","35.5","0",,,,,"0","19",,
"4708820150429","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2015","4","29",,"2015/04/29",,,,,,,,,,,,,
"3090720211119","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","11","19",,"2021/11/19","-0.8","-12.4","-6.6","24.6","0",,,,,"0",,,
"3090720211120","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","11","20",,"2021/11/20","-0.8","-15.4","-8.1","26.1","0",,,,,"0",,"48","35"
"5371820210115","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","1","15",,"2021/01/15","5.1","-6.8","-0.9","18.9","0",,,,,"0.4",,"35","24"
"5371820210116","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","1","16",,"2021/01/16","4.9","-2","1.4","16.6","0",,,,,"0",,"42","29"
"4685020161031","46850","THORSBY AGCM","ALBERTA","53.22","-113.89","(53.22, -113.89)","754","3016441","71504","PTH","2016","10","31","†","2016/10/31",,"-5.2",,,,,"M",,"M",,,,
"4708820150218","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2015","2","18","†","2015/02/18",,,,,,,"M",,"M",,,,
"5371820210731","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","7","31",,"2021/07/31","31.8","15.7","23.7","0","5.7",,,,,"0",,"35","12"
"5371820210802","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","8","2",,"2021/08/02","21.3","17.4","19.4","0","1.4",,,,,"0",,,
"5371820210917","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","9","17",,"2021/09/17","17.3","1.9","9.6","8.4","0",,,,,"0",,"34","16"
"5371820210918","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","9","18",,"2021/09/18","19.8","5.4","12.6","5.4","0",,,,,"2.1",,"44","33"
"5371820210801","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","8","1",,"2021/08/01","29.7","17.1","23.4","0","5.4",,,,,"0",,,
"5371820210804","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","8","4",,"2021/08/04","30.9","14.4","22.7","0","4.7",,,,,"0.5",,,
"5371820210828","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","8","28",,"2021/08/28","23.9","9.9","16.9","1.1","0",,,,,"0",,"33","27"
"5371820210829","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","8","29",,"2021/08/29","26.7","10","18.4","0","0.4",,,,,"0",,,
"5371820210830","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","8","30",,"2021/08/30","23.9","12.6","18.3","0","0.3",,,,,"0",,"37","3"
"5371820210912","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","9","12",,"2021/09/12","16.5","9.9","13.2","4.8","0",,,,,"6.3",,"34","32"
"5371820210913","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","9","13",,"2021/09/13","19.8","6.5","13.2","4.8","0",,,,,"0",,"36","32"
"5371820210914","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","9","14",,"2021/09/14","21.6","6.5","14","4","0",,,,,"0",,,
"5371820210915","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","9","15",,"2021/09/15","16.6","7.9","12.3","5.7","0",,,,,"0",,"61","32"
"5371820211001","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","10","1",,"2021/10/01","18","6","12","6","0",,,,,"0",,,
"5371820211010","53718","EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","(53.49, -113.54)","670","3012220",,"NES","2021","10","10",,"2021/10/10","10.1","3.5","6.8","11.2","0",,,,,"0.6",,"44","29"
"2721420210128","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","1","28",,"2021/01/28","-13","-23.9","-18.4","36.4","0",,,,,"0.2","14",,
"2721420210129","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","1","29",,"2021/01/29","-11.2","-23","-17.1","35.1","0",,,,,"0","20",,
"2721420210318","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","3","18",,"2021/03/18","15.8","-2","6.9","11.1","0",,,,,"0",,,
"2721420210319","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","3","19",,"2021/03/19","13.8","0.5","7.2","10.8","0",,,,,"0",,"39","30"
"2721420210422","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","4","22",,"2021/04/22","4.8","-5","-0.1","18.1","0",,,,,"0",,"53","35"
"2721420210423","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","4","23",,"2021/04/23","5.3","-6.1","-0.4","18.4","0",,,,,"0",,"39","35"
"2721420210424","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","4","24",,"2021/04/24","8.9","-5.8","1.6","16.4","0",,,,,"0",,,
"2721420210425","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","4","25",,"2021/04/25","10","-5.1","2.5","15.5","0",,,,,"0",,"37","25"
"5175820210207","51758","EDMONTON VILLENEUVE A","ALBERTA","53.67","-113.86","(53.67, -113.86)","687.6","3012229","71664","ZVL","2021","2","7",,"2021/02/07","-26.3","-39.6","-33","51","0",,,,,"0",,,
"5175820210303","51758","EDMONTON VILLENEUVE A","ALBERTA","53.67","-113.86","(53.67, -113.86)","687.6","3012229","71664","ZVL","2021","3","3",,"2021/03/03","6.3","-7.7","-0.7","18.7","0",,,,,"0",,,
"5175820210406","51758","EDMONTON VILLENEUVE A","ALBERTA","53.67","-113.86","(53.67, -113.86)","687.6","3012229","71664","ZVL","2021","4","6",,"2021/04/06","12.1","-0.3","5.9","12.1","0",,,,,"0",,"41","8"
"4708820080512","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2008","5","12",,"2008/05/12",,,,,,,,,,,,,
"5175820211127","51758","EDMONTON VILLENEUVE A","ALBERTA","53.67","-113.86","(53.67, -113.86)","687.6","3012229","71664","ZVL","2021","11","27",,"2021/11/27","0.1","-12.3","-6.1","24.1","0",,,,,"0",,,
"2721420210601","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","6","1",,"2021/06/01","28.1","14.4","21.2","0","3.2",,,,,"0",,"34","28"
"2721420210625","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","6","25",,"2021/06/25","29.4","17.6","23.5","0","5.5",,,,,"0",,"49","32"
"2721420210712","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","7","12",,"2021/07/12","28.3","14.4","21.3","0","3.3",,,,,"0",,"35","31"
"2721420210713","27214","EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","(53.57, -113.52)","671","3012209","71157","XEC","2021","7","13",,"2021/07/13","28.9","14.4","21.6","0","3.6",,,,,"0",,"31","15"
"4708820210121","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","1","21",,"2021/01/21","-2.6","-11.6","-7.1","25.1","0",,,,,"0.5",,,
"4708820210203","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","2","3",,"2021/02/03","-18.7","-24.8","-21.7","39.7","0",,,,,"0",,,
"4708820210218","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","2","18",,"2021/02/18","-3.5","-19.5","-11.5","29.5","0",,,,,,,,
"4708820210403","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","4","3",,"2021/04/03","9.7","-1","4.3","13.7","0",,,,,"0",,"34","29"
"4708820210404","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","4","4",,"2021/04/04","7.1","-0.6","3.2","14.8","0",,,,,"2.3",,"44","32"
"4708820210405","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","4","5",,"2021/04/05","11.4","-1.9","4.7","13.3","0",,,,,"0",,"41","29"
"4708820160730","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2016","7","30","†","2016/07/30",,"12.3",,,,,"M",,"M",,,,
"4708820210412","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","4","12",,"2021/04/12","5.4","-6.1","-0.4","18.4","0",,,,,"0",,,
"4708820210621","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","6","21",,"2021/06/21","26.9","8.7","17.8","0.2","0",,,,,"0",,,
"4708820211114","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","11","14",,"2021/11/14","2.9","-3.8","-0.4","18.4","0",,,,,"0",,,
"4708820211115","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","11","15",,"2021/11/15","-0.1","-5.4","-2.8","20.8","0",,,,,"7.2",,"41","5"
"4708820211116","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","11","16",,"2021/11/16","-1.3","-10.9","-6.1","24.1","0",,,,,"10.7",,"59","32"
"4708820211118","47088","LEGAL AGCM","ALBERTA","54","-113.47","(54.0, -113.47)","680","3013790","71544","PLF","2021","11","18",,"2021/11/18","-2.2","-12","-7.1","25.1","0",,,,,"0",,,
"4691120210126","46911","NEW SAREPTA AGCM","ALBERTA","53.26","-113.17","(53.26, -113.17)","765","3014795","71067","PNS","2021","1","26",,"2021/01/26","-17.2","-21.9","-19.5","37.5","0",,,,,"0.5",,,
"4691120210127","46911","NEW SAREPTA AGCM","ALBERTA","53.26","-113.17","(53.26, -113.17)","765","3014795","71067","PNS","2021","1","27",,"2021/01/27","-15.1","-19.7","-17.4","35.4","0",,,,,"1.7",,,
"4691120210128","46911","NEW SAREPTA AGCM","ALBERTA","53.26","-113.17","(53.26, -113.17)","765","3014795","71067","PNS","2021","1","28",,"2021/01/28","-12.7","-28.6","-20.6","38.6","0",,,,,"0",,,
"4691120210129","46911","NEW SAREPTA AGCM","ALBERTA","53.26","-113.17","(53.26, -113.17)","765","3014795","71067","PNS","2021","1","29",,"2021/01/29","-14.6","-26.2","-20.4","38.4","0",,,,,"0",,,
"4685020160517","46850","THORSBY AGCM","ALBERTA","53.22","-113.89","(53.22, -113.89)","754","3016441","71504","PTH","2016","5","17","†","2016/05/17","22.9",,,,,,"M",,"M",,,,
"2779320210929","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","9","29",,"2021/09/29","18.8","-3.5","7.7","10.3","0",,,,,"0",,"38","18"
"2779320210930","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","9","30",,"2021/09/30","18.7","2.4","10.5","7.5","0",,,,,"0",,"33","17"
"2779320211115","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","11","15",,"2021/11/15","0.9","-3.8","-1.5","19.5","0",,,,,"1.6",,"35","8"
"2779320211116","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","11","16",,"2021/11/16","-0.7","-14.9","-7.8","25.8","0",,,,,"2.5","1","37","30"
"2779320211129","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","11","29",,"2021/11/29","4.6","-6.4","-0.9","18.9","0",,,,,"0","9",,
"2779320211202","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","12","2",,"2021/12/02","2.9","-8","-2.5","20.5","0",,,,,"4.1","7","67","31"
"2779320211203","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","12","3",,"2021/12/03","-2.1","-12.8","-7.4","25.4","0",,,,,"0","8",,
"2779320211204","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","12","4",,"2021/12/04","-9.3","-18.1","-13.7","31.7","0",,,,,"0","7",,
"3090720210102","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","2",,"2021/01/02","4.8","-8","-1.6","19.6","0",,,,,"0",,"31","20"
"3090720210103","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","3",,"2021/01/03","3.7","-2.6","0.6","17.4","0",,,,,"0",,"37","26"
"3090720210225","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","2","25",,"2021/02/25","6.2","-5.8","0.2","17.8","0",,,,,"0",,"35","26"
"3090720210314","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","3","14",,"2021/03/14","11.4","2.7","7.1","10.9","0",,,,,"0",,"50","18"
"3090720210315","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","3","15",,"2021/03/15","6.6","-6.3","0.2","17.8","0",,,,,"0",,"59","34"
"3090720210316","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","3","16",,"2021/03/16","9.6","-5.1","2.3","15.7","0",,,,,"0",,,
"2779320210719","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","7","19",,"2021/07/19","21.3","10.9","16.1","1.9","0",,,,,"0",,,
"2779320210725","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","7","25",,"2021/07/25","24","12.2","18.1","0","0.1",,,,,"5.3",,,
"2779320210727","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","7","27",,"2021/07/27","23.8","11.3","17.5","0.5","0",,,,,"0",,"38","31"
"2779320210728","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","7","28",,"2021/07/28","26.4","7.3","16.9","1.1","0",,,,,"0",,"31","18"
"2779320210729","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","7","29",,"2021/07/29","28.3","11.3","19.8","0","1.8",,,,,,,,
"2779320210814","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","8","14",,"2021/08/14","31.7","9.6","20.6","0","2.6",,,,,"0",,,
"2779320210817","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","8","17",,"2021/08/17","19.8","4.7","12.3","5.7","0",,,,,"0",,,
"2779320210818","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","8","18",,"2021/08/18","24.5","1.1","12.8","5.2","0",,,,,"0",,"45","18"
"2779320210821","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","8","21",,"2021/08/21","22.3","1.6","11.9","6.1","0",,,,,"0",,"36","12"
"2779320210822","27793","EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","(53.31, -113.61)","715","3012206","71155","XEG","2021","8","22",,"2021/08/22","14.6","9.4","12","6","0",,,,,"0.6",,"39","10"
"3090720210101","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","1",,"2021/01/01","-2.8","-10.6","-6.7","24.7","0",,,,,"0",,,
"3090720210104","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","4",,"2021/01/04","0.8","-8.8","-4","22","0",,,,,"0",,,
"3090720210120","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","20",,"2021/01/20","1.5","-5.3","-1.9","19.9","0",,,,,"0",,"72","33"
"3090720210121","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","21",,"2021/01/21","-2","-10.3","-6.2","24.2","0",,,,,"0",,,
"3090720210122","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","22",,"2021/01/22","-4.3","-10.1","-7.2","25.2","0",,,,,"0.5",,"35","27"
"3090720210123","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","23",,"2021/01/23","-10.1","-22.5","-16.3","34.3","0",,,,,"0",,,
"3090720210128","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","1","28",,"2021/01/28","-15.7","-25.9","-20.8","38.8","0",,,,,"0.5",,,
"3090720210201","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","2","1",,"2021/02/01","-10.3","-21.3","-15.8","33.8","0",,,,,"0",,,
"3090720210202","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","2","2",,"2021/02/02","-10.3","-18","-14.2","32.2","0",,,,,"1",,"35","33"
"3090720210203","30907","EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","(53.67, -113.47)","687.9","3012212","71121","YED","2021","2","3",,"2021/02/03","-17.1","-24.2","-20.7","38.7","0",,,,,"0",,,
